Year,Farge,DIN,PO4-P,SiO2,TOC,TOTN,TOTP/F,TOTP_P,TOTP,TSM,UV-Abs. 410nm,UV-Abs. 254nm
1990,,,18.048182019695638,,,3322.1358058744127,,,57.45149863812733,12368.34583985274,,
1991,,,12.600295211145585,,,2776.9562335662586,,,40.6307081889725,11912.385079875887,,
1992,,,13.119224643464515,,28492.04244010359,3535.555525363507,,,48.45896637617358,16856.47465411921,,
1993,,2730.2197157169767,13.93859157510291,,37590.201520642986,4231.752294905699,,,54.92803465142872,17638.072841561607,,
1994,,3803.654497725144,17.65592003745439,,36089.64737237536,5514.761088699156,,,60.37352741042701,27737.733192473486,,
1995,,3279.776417039139,24.64533690395514,,38708.41715528298,5212.7191031657985,,,85.80008677405687,49512.76787098492,,
1996,,2549.475781583569,15.525245159971389,16974.273209553157,25114.9655883623,3688.0045317855893,,,45.9765890060419,16985.18771061245,,
1997,,2570.9763046095327,13.76756171553618,20249.626767458012,27538.043605902858,3805.2812271871294,,,39.905943559748586,13810.735298101554,,
1998,,3209.373382602914,14.578049029179498,28318.792903217258,39878.338972488695,4928.690408648078,,,52.36550992982641,18322.707443846448,,
1999,,3272.875032798032,23.755219846394674,29035.705279503087,38876.77872251876,4903.704044536499,,,71.43185991452934,39344.41371525116,,
2000,,4056.1255561413045,44.01626789569656,52967.42765010991,59753.16207682308,7006.922482453964,,,109.50121400945423,103173.70642708601,,
2001,,3088.2950568256892,34.98407477021215,37869.16479017272,44488.523215881956,4786.747626916799,,,80.66281923105956,28455.274843292573,,
2002,,2733.3882751080437,46.79727431657152,25486.39192753263,32556.15036859078,4031.6538335823966,,,58.83580598957097,15939.687041414887,,
2003,,2849.6050990128097,15.118090135764055,22855.79514836098,30265.789342446562,3902.8717979603302,,,53.59124766791407,20488.2474805531,,
2004,,2610.717695886613,21.471627372320416,26387.144826855238,34836.68341537761,4189.957745033016,,,58.43896267382785,34604.84915775186,,
2005,,2294.384612346947,11.36821349391621,21729.307097952107,27671.736317707222,3520.794098849169,,,45.79336627749688,13233.30391130373,,
2006,,3756.053011965557,18.47273635779247,29820.47021530461,35689.90979030518,5642.523098988889,,,56.53274071161158,22507.509487924915,,
2007,,3697.0937722257963,66.16832375225282,37576.90299246156,46604.74844230902,5873.364146859562,,,128.74789534434618,81500.20386153662,,
2008,,3588.163689386687,30.14767059925217,35800.127099275014,42715.9980376572,5437.944826876765,,,81.88378026343175,35236.19703070796,,
2009,,2560.3784774705837,22.58062146385974,29491.03577748967,35973.07337689454,4491.8740400889765,,,70.28873233560208,20638.830903531554,,
2010,,2571.7506131597775,18.828079320734165,29156.223623193295,35387.43900947747,4136.724633486918,,,63.337324799817274,21232.069617071385,,
2011,,3470.7318491440583,38.42212626925091,39137.81819081369,53885.61425805643,5979.355200453132,,,116.40946207499843,39140.029922028654,,
2012,,3040.9886120103115,20.20358883081974,37142.97602346951,39850.098082165096,5598.80058665174,,,59.161044074904936,15806.814229975616,,
2013,,4039.3491104920618,59.396227493102515,37157.47209297236,43631.12460217486,6190.718900725674,,,111.84974316997109,61944.65742666407,,
2014,,3380.0992704214655,38.44034198079033,38217.04650091979,48274.18711178892,5632.539754733921,,,77.42507903890812,28836.33484826184,,
2015,,3007.311317997912,77.53409798429715,41500.913047008245,49219.92606508749,5719.763344028092,,,141.73009550700564,72600.4981136251,,
2016,,2702.8984534289016,53.25491881940937,32861.108084335036,35739.57117148919,4701.4751559440565,,,99.62437212211685,44598.68219841839,,
2017,,2984.7744530155505,28.163553073711828,34440.664600676064,44174.56339020976,4684.940241844178,,,71.72462778921953,21897.823137685547,,
2018,,2827.7426774597134,21.65812563397014,31069.172535236252,37892.486161496745,4295.4903529043495,22.738896603732808,,57.045239765512996,21505.602516098454,129621.40825514842,1442932.0739600556
2019,,4196.226192766281,24.943894801889815,35939.65673029053,42987.3428701497,5768.268292153522,23.78578666047606,,66.1124732667334,19400.492804525304,146874.87202238064,1634334.7316430574
2020,,4686.383411248881,45.66815571683899,43522.586240190234,54134.56714012542,6187.453678284782,,,101.47345111722197,39932.47610369106,175003.0312181413,1949772.909610999
2021,,3932.7604272072685,51.53686145494681,38606.679700915294,41032.184251088926,5338.717797954092,,,102.33321363518242,49986.60123022956,136791.29845101538,1532544.3709876437
2022,170700.3891847356,2386.7765172365107,17.317433653834875,23087.014345546548,26471.461093751033,3179.8244334166225,,35.688571320568435,44.92262348840748,15523.775938570026,88406.4561287919,999399.0073520559
2023,437564.6333478421,4308.735719691655,134.8699426212609,58741.16333290133,73433.6863078441,7155.136812174241,,104.1738145261735,225.4324255757605,53063.4682980715,,
2024,,,,,,,,,,,,
